text	label
"Excelente producto, muy recomendable."	buena
"Calidad excepcional, superó mis expectativas."	buena
"Muy bueno, pero el envío fue lento."	regular
"El producto es bueno, pero podría mejorar."	regular
"No me gustó, llegó en mal estado."	mala
"Terrible calidad, no lo recomiendo para nada."	mala
"Funciona bien, aunque esperaba más."	regular
"Me encanta, volvería a comprarlo."	buena
"Es lo que esperaba, buen producto."	buena
"No es lo que esperaba, no vale la pena."	mala
"Producto decente, pero nada extraordinario."	regular
"Buen producto, pero con detalles que mejorar."	regular
"Increíble, superó mis expectativas."	buena
"Calidad pésima, se rompió en pocos días."	mala
"Cumple con su función, pero tiene algunos defectos."	regular
"Estoy muy satisfecho con la compra."	buena
"Demasiado caro para la calidad que ofrece."	mala
"No recomendaría este producto."	mala
"Producto aceptable, cumple con lo básico."	regular
"Excelente calidad y buen precio."	buena
"Es muy duradero y funciona perfectamente."	buena
"La calidad del producto es fantástica."	buena
"El servicio de atención fue muy bueno."	buena
"Entrega rápida y producto en perfectas condiciones."	buena
"No tiene nada especial, es bastante promedio."	regular
"La calidad es aceptable, pero no sobresaliente."	regular
"Recibí un producto defectuoso, decepcionante."	mala
"No cumplió con las expectativas que tenía."	mala
"Producto normal, cumple con lo justo."	regular
"Esperaba algo mejor por el precio."	regular
"Muy contento con la calidad del producto."	buena
"Excelente servicio y calidad."	buena
"El producto llegó dañado, pésima experiencia."	mala
"El diseño es bonito, pero es incómodo."	regular
"Buen producto, cumple con lo prometido."	buena
"Calidad muy baja, no lo recomendaría."	mala
"Funciona bien para el uso básico."	regular
"Estoy encantado con el producto."	buena
"Muy mal producto, se descompuso rápidamente."	mala
"No es malo, pero tampoco es excelente."	regular
"Fácil de usar y de buena calidad."	buena
"El precio es alto para lo que ofrece."	regular
"Vale cada centavo, muy satisfecho."	buena
"Muy barato y de mala calidad."	mala
"El embalaje estaba dañado al llegar."	mala
"Es una opción decente por el precio."	regular
"Supera la calidad de otros productos similares."	buena
"El material se siente barato y endeble."	mala
"No funciona como esperaba, decepcionante."	mala
"Buena calidad a un precio razonable."	buena
"El producto hace mucho ruido al usarlo."	regular
"Excelente opción de compra, muy satisfecho."	buena
"La descripción no coincide con el producto."	mala
"Es cómodo y cumple con lo básico."	regular
"Durabilidad cuestionable, parece frágil."	mala
"El color y el diseño son muy bonitos."	buena
"Funciona, pero tiene algunos defectos menores."	regular
"No vale el precio que pagué."	mala
"Cumple con sus especificaciones."	regular
"Increíblemente útil y práctico."	buena
"No se ajusta bien, es incómodo."	mala
"Me gusta mucho, lo uso todos los días."	buena
